"k","Val"
"I1",0
"I2",0
"I3",1.01280770346314E-6
"I4",0
"I5",0
"I6",0.0373642590341234
"I7",0.309734448832414
"I8",0
"I9",0
"I10",0.024345817070049
"I11",0.0008394552295869
"I12",0
"I13",0.00152434075211337
"I14",0
"I15",0
"I16",0
"I17",0
"I18",0
"I19",0
"I20",0
"I21",0
"I22",0
"I23",0
"I24",0
"I25",0
"I26",0
"I27",0
"I28",0
"I29",0
"I30",0
"I31",0
"I32",0
"I33",0
"I34",0
"I35",1.86793277045897E-6
"I36",0
"I37",0
"I38",0
"I39",0
"I40",0
"I41",0
"I42",0
"I43",0
"I44",0
"I45",0
"I46",0
"I47",0
"I48",0
"I49",0.0130706939814003
"I50",0
"I51",0
"I52",0
"I53",0
"I54",0
"I55",0
"I56",0
"I57",0
"I58",0
"I59",0
"I60",0
"I61",0
"I62",0
"I63",0
"I64",0
"I65",0
"I66",0
"I67",0
"I68",0
"I69",0
"I70",0
"I71",0
"I72",0
"I73",0
"I74",0
"I75",0
"I76",0
"I77",0
"I78",0
"I79",0
"I80",0
"I81",-0.273649965490822
"I82",0
"I83",0
"I84",0
"I85",0
"I86",0.00186995001670572
"I87",0
"I88",0
"I89",5.27199639842227E-5
"I90",0
"I91",0
"I92",0
"I93",0
"I94",0
"I95",0
"I96",0
"I97",0
"I98",0
"I99",0
"I100",0
"I101",0
"I102",0
"I103",0
"I104",0
"I105",2.64167261266513E-5
"I106",0
"I107",0
"I108",0
"I109",0.0145833164177178
"I110",0
"I111",0
"I112",0
"I113",0
"I114",0
"I115",0
"I116",0
"I117",0
"I118",0
"I119",0
"I120",0
"I121",0
"I122",0
"I123",0
"I124",0
"I125",0.00461578762231426
"I126",0
"I127",0
"I128",0
"I129",0
"I130",0
"I131",0
"I132",0
"I133",0
"I134",0
"I135",0
"I136",0
"I137",0
"I138",0
"I139",0.0361318570596509
"I140",0
"I141",0
"I142",0
"I143",0
"I144",0
"I145",0
"I146",9.78421665312858
"I147",0
"I148",0
"I149",0
"I150",-0.00460968500704247
"I151",0
"I152",0
"I153",0
"I154",0
"I155",0
"I156",0
"I157",0
"I158",8.4299563342142E-6
"I159",-2.74873703665002
"I160",4.45756683859528E-5
"I161",-0.799804876611599
"I162",0
"I163",0
"I164",0
"I165",0
"I166",0
"I167",0
"I168",0
"I169",0
"I170",0
"I171",0
"I172",0.0131002522893279
"I173",0
"I174",0
"I175",0
"I176",0
"I177",0
"I178",0
"I179",0.00483513409422457
"I180",0.00169848810543401
"I181",0
"I182",8.49377197523589E-5
"I183",0
"I184",0
"I185",0
"I186",-0.18283509800375
"I187",0
"I188",2.60782821849792E-7
"I189",0
"I190",-2.34453604706579
"I191",0.000124749951341043
"I192",6.54989413018081E-7
"I193",9.70354685952713E-8
"I194",-21.0960396931562
"I195",0
"I196",-0.0664574761487268
"I197",-0.00946369447071667
"I198",0
"I199",7.88413182336579E-8
"I200",63.4556170829934
"I201",-4.06796388314677
"I202",0.000796657233539366
"I203",0.0425414095790001
"I204",2.92888688801237E-5
"I205",0
"I206",0
"I207",0
"I208",0
"I209",0
"I210",6.91377713741308E-7
"I211",0.0357994927635804
"I212",0
"I213",0
"I214",0
"I215",0
"I216",0
"I217",0
"I218",0
"I219",0
"I220",0
"I221",0
"I222",0
"I223",0
"I224",0
"I225",0
"I226",0
"I227",0
"I228",0
"I229",0
"I230",0
"I231",0
"I232",0
"I233",0
"I234",0
"I235",0
"I236",0
"I237",0
"I238",0
"I239",0
"I240",0
"I241",0
"I242",0
"I243",0
"I244",0
"I245",0
"I246",0
"I247",0
"I248",0
"I249",0
"I250",0
"I251",0
"I252",0
"I253",0
"I254",0
"I255",0
"I256",0
"I257",0
"I258",0
"I259",0
"I260",0
"I261",0
"I262",0
"I263",0
"I264",0
"I265",0
"I266",0
"I267",0
"I268",0
"I269",0
"I270",0
"I271",0
"I272",0.00151617919680111
"I273",0
"I274",0
"I275",0
"I276",0
"I277",0
"I278",0
"I279",0
"I280",0
"I281",0
"I282",0
"I283",0
"I284",0
"I285",0
"I286",0
"I287",0
"I288",0
"I289",0
"I290",0
"I291",0
"I292",0
"I293",0
"I294",0
"I295",0
"I296",0
"I297",0
"I298",0
"I299",0
"I300",0
"I301",0
"I302",0
"I303",0
"I304",0
"I305",0
"I306",0
"I307",0
"I308",0
"I309",0
"I310",0
"I311",0
"I312",0
"I313",0
"I314",0
"I315",0
"I316",0
"I317",0
"I318",0
"I319",0
"I320",0
"I321",0
"I322",0
"I323",0
"I324",0
"I325",0
"I326",0
"I327",0
"I328",0
"I329",0
"I330",0
"I331",0
"I332",0
"I333",0
"I334",0
"I335",0
"I336",0
"I337",0
"I338",0
"I339",0
"I340",0
"I341",0
"I342",0
"I343",0
"I344",0
"I345",0
"I346",0
"I347",0
"I348",0
"I349",0
"I350",0
"I351",0
"I352",0
"I353",0
"I354",0
"I355",0
"I356",0
"I357",0
"I358",0
"I359",0
"I360",0
"I361",0
"I362",0
"I363",0
"I364",0
"I365",0
"I366",0
"I367",0
"I368",0
"I369",0
"I370",0
"I371",0
"I372",0
"I373",0
"I374",0
"I375",0.00596794769932665
"I376",0
"I377",0
"I378",0
"I379",0
"I380",0
"I381",0
"I382",0
"I383",0
"I384",0
"I385",0
"I386",0
"I387",0
"I388",0
"I389",0
"I390",0
"I391",0
"I392",0
"I393",0
"I394",0
"I395",0
"I396",0
"I397",0
"I398",0
"I399",0
"I400",0
"I401",0
"I402",0
"I403",0
"I404",0
"I405",0
"I406",0
"I407",0
"I408",0
"I409",0
"I410",0
"I411",0
"I412",0
"I413",0
"I414",0
"I415",0
"I416",0
"I417",0
"I418",0
"I419",0
"I420",0
"I421",0
"I422",0
"I423",0
"I424",0
"I425",0
"I426",0
"I427",0
"I428",0
"I429",0
"I430",0
"I431",0
"I432",0
"I433",0
"I434",0
"I435",0
"I436",0
"I437",0
"I438",0
"I439",0
"I440",0
"I441",0
"I442",0
"I443",0
"I444",0
"I445",0
"I446",0
"I447",0
"I448",0
"I449",0
"I450",0
"I451",0
"I452",0
"I453",0
"I454",0
"I455",0
"I456",0
"I457",0
"I458",0
"I459",0
"I460",0
"I461",0
"I462",0
"I463",0
"I464",0
"I465",0
"I466",0
"I467",0
"I468",0
"I469",0
"I470",0
"I471",0
"I472",0
"I473",0
"I474",0
"I475",0
"I476",0
"I477",0
"I478",0
"I479",0
"I480",0
"I481",0
"I482",0
"I483",0
"I484",0
"I485",0
"I486",0
"I487",0
"I488",0
"I489",0
"I490",0
"I491",0
"I492",0
"I493",0
"I494",0
"I495",0
"I496",0
"I497",0
"I498",0
"I499",0
"I500",0
"I501",1.2190080742281E-5
"I502",0
"I503",0
"I504",0
"I505",0
"I506",0
"I507",0
"I508",0
"I509",0
"I510",0
"I511",0
"I512",0
"I513",0
"I514",0
"I515",0
"I516",0
"I517",0
"I518",0
"I519",0
"I520",0
"I521",0
"I522",0
"I523",0
"I524",0
"I525",0
"I526",0
"I527",0
"I528",0
"I529",0
"I530",0
"I531",0
"I532",0
"I533",0
"I534",0
"I535",0
"I536",0
"I537",0
"I538",0
"I539",0
"I540",0
"I541",0
"I542",0
"I543",0
"I544",0
"I545",0
"I546",0
"I547",0
"I548",0
"I549",0
"I550",0
"I551",0
"I552",0
"I553",0
"I554",0
"I555",0
"I556",0
"I557",0
"I558",0
"I559",0
"I560",0
"I561",0
"I562",0
"I563",0
"I564",0
"I565",0
"I566",0
"I567",0
"I568",0
"I569",0
"I570",0
"I571",0
"I572",0
"I573",0
"I574",0
"I575",0
"I576",0
"I577",0
"I578",0
"I579",0
"I580",0
"I581",0
"I582",0
"I583",0
"I584",0
"I585",0
"I586",0
"I587",0
"I588",0
"I589",0
"I590",0
"I591",0
"I592",0
"I593",0
"I594",0
"I595",0
"I596",0
"I597",0
"I598",0
"I599",0
"I600",0
"I601",0
"I602",0
"I603",0
"I604",0
"I605",0
"I606",0
"I607",0
"I608",0
"I609",0
"I610",2.42588671488178E-8
"I611",0
"I612",0
"I613",0
"I614",0
"I615",0
"I616",0
"I617",0
"I618",0
"I619",0
"I620",0
"I621",0
"I622",0
"I623",0
"I624",0
"I625",0
"I626",0
"I627",0
"I628",0
"I629",0
"I630",0
"I631",0
"I632",0
"I633",0
"I634",0
"I635",0
"I636",0
"I637",0
"I638",0
"I639",0
"I640",0
"I641",0
"I642",0
"I643",1.21294335744089E-8
"I644",0
"I645",0
"I646",0
"I647",0
"I648",0
"I649",0
"I650",0
"I651",0
"I652",0
"I653",0
"I654",0
"I655",0
"I656",0
"I657",0
"I658",0
"I659",0
"I660",0
"I661",0
"I662",0
"I663",0
"I664",0
"I665",0
"I666",0
"I667",0
"I668",0
"I669",0
"I670",0
"I671",0
"I672",0
"I673",0
"I674",0
"I675",0
"I676",0
"I677",0
"I678",0
"I679",0
"I680",0
"I681",0
"I682",0
"I683",0
"I684",0
"I685",0
"I686",0
"I687",0
"I688",0
"I689",0
"I690",0
"I691",0
"I692",0
"I693",0
"I694",0
"I695",0
"I696",0
"I697",0
"I698",0
"I699",0
"I700",0
"I701",0
"I702",0
"I703",0
"I704",0
"I705",0
"I706",0
"I707",0
"I708",0
"I709",0
"I710",0
"I711",0
"I712",0
"I713",0
"I714",0
"I715",0
"I716",0
"I717",0
"I718",0
"I719",0
"I720",0
"I721",0
"I722",0
"I723",0
"I724",0
"I725",0
"I726",0
"I727",0
"I728",0
"I729",0
"I730",0
"I731",0
"I732",0
"I733",0
"I734",0
"I735",0
"I736",0
"I737",0
"I738",0
"I739",0
"I740",0
"I741",0
"I742",0
"I743",0
"I744",0
"I745",0
"I746",0
"I747",0
"I748",0
"I749",0
"I750",0
"I751",0
"I752",0
"I753",0
"I754",0
"I755",0
"I756",0
"I757",0
"I758",0
"I759",0
"I760",0
"I761",0
"I762",0
"I763",0
"I764",0
"I765",0
"I766",0
"I767",0
"I768",0
"I769",0
"I770",0
"I771",0
"I772",0
"I773",0
"I774",0
"I775",0
"I776",7.52024881613353E-7
"I777",0
"I778",0
"I779",0
"I780",0
"I781",0
"I782",0
"I783",0
"I784",0
"I785",0
"I786",0
"I787",0
"I788",0
"I789",0
"I790",0
"I791",0
"I792",0
"I793",0
"I794",0
"I795",0
"I796",0
"I797",0
"I798",0
"I799",0
"I800",0
"I801",0
"I802",0
"I803",0
"I804",0
"I805",0
"I806",0
"I807",0
"I808",0
"I809",0
"I810",0
"I811",0
"I812",0
"I813",0
"I814",0
"I815",0
"I816",0
"I817",0
"I818",0
"I819",0
"I820",0
"I821",0
"I822",0
"I823",0
"I824",0
"I825",0
"I826",0
"I827",0
"I828",0
"I829",0
"I830",0
"I831",0
"I832",0
"I833",0
"I834",0
"I835",0
"I836",0
"I837",0
"I838",0
"I839",0
"I840",0
"I841",0
"I842",0
"I843",0
"I844",0
"I845",0
"I846",0
"I847",0
"I848",0
"I849",0
"I850",0
"I851",0
"I852",0
"I853",0
"I854",0
"I855",0
"I856",0
"I857",0
"I858",0
"I859",0
"I860",0
"I861",0
"I862",0
"I863",0
"I864",0
"I865",0
"I866",0
"I867",0
"I868",0
"I869",0
"I870",0
"I871",0
"I872",0
"I873",0
"I874",0
"I875",0
"I876",0
"I877",0
"I878",0
"I879",0
"I880",0
"I881",0
"I882",0
"I883",0
"I884",0
"I885",0
"I886",0
"I887",0
"I888",0
"I889",0
"I890",0
"I891",0
"I892",0
"I893",0
"I894",0
"I895",0
"I896",0
"I897",0
"I898",0
"I899",0
"I900",0
"I901",0
"I902",0
"I903",0
"I904",0
"I905",0
"I906",0
"I907",0
"I908",0
"I909",0
"I910",0
"I911",0
"I912",0
"I913",0
"I914",0
"I915",0
"I916",0
"I917",0
"I918",0
"I919",0
"I920",0
"I921",0
"I922",0
"I923",0
"I924",0
"I925",0
"I926",0
"I927",0
"I928",0
"I929",0
"I930",0
"I931",0
"I932",0
"I933",0
"I934",0
"I935",0
"I936",0
"I937",0
"I938",0
"I939",0
"I940",0
"I941",0
"I942",0
"I943",0
"I944",0
"I945",0
"I946",0
"I947",0
"I948",0
"I949",0
"I950",0
"I951",0
"I952",0
"I953",0
"I954",0
"I955",0
"I956",0
"I957",0
"I958",0
"I959",0
"I960",0
"I961",0
"I962",0
"I963",0
"I964",0
"I965",0
"I966",0
"I967",0
"I968",0
"I969",0
"I970",0
"I971",0
"I972",0
"I973",0
"I974",0
"I975",0
"I976",0
"I977",0
"I978",0
"I979",0
"I980",0
"I981",0
"I982",0
"I983",0
"I984",0
"I985",0
"I986",0
"I987",0
"I988",0
"I989",0
"I990",0
"I991",0
"I992",0
"I993",0
"I994",0
"I995",0
"I996",0
"I997",0
"I998",0
"I999",0
"I1000",0
"I1001",0
"I1002",0
"I1003",0
"I1004",0
"I1005",0
"I1006",0
"I1007",0
"I1008",0
"I1009",0
"I1010",0
"I1011",0
"I1012",0
"I1013",0
"I1014",0
"I1015",0
"I1016",0
"I1017",0
"I1018",0
"I1019",0
"I1020",0
"I1021",0
"I1022",0
"I1023",0
"I1024",0
"I1025",0
"I1026",0
"I1027",0
"I1028",0
"I1029",0
"I1030",0
"I1031",0
"I1032",0
"I1033",0
"I1034",0
"I1035",0
"I1036",0
"I1037",0
"I1038",0
"I1039",0
"I1040",0
"I1041",0
"I1042",0
"I1043",0
"I1044",0
"I1045",0
"I1046",0
"I1047",0
"I1048",0.00105975041655872
"I1049",0
"I1050",0
"I1051",0
"I1052",0
"I1053",0
"I1054",0
"I1055",0
"I1056",0
"I1057",0
"I1058",0
"I1059",0
"I1060",0
"I1061",0
"I1062",0
"I1063",0
"I1064",0
"I1065",0
"I1066",0.00596624351390945
"I1067",0
"I1068",0
"I1069",0
"I1070",0
"I1071",0
"I1072",0
"I1073",0
"I1074",0
"I1075",0
"I1076",0
"I1077",0
"I1078",0
"I1079",0
"I1080",0
"I1081",0
"I1082",0
"I1083",0
"I1084",0
"I1085",0
"I1086",0
"I1087",0
"I1088",0
"I1089",0
"I1090",0
"I1091",0
"I1092",0
"I1093",0
"I1094",0
"I1095",0
"I1096",0
"I1097",0
"I1098",0
"I1099",0
"I1100",0
"I1101",0
"I1102",0
"I1103",0
"I1104",0
"I1105",0
"I1106",0
"I1107",0
"I1108",0
"I1109",0
"I1110",0
"I1111",0
"I1112",0
"I1113",0
"I1114",0
"I1115",0
"I1116",0
"I1117",0
"I1118",0
"I1119",0
"I1120",0
"I1121",0
"I1122",0
"I1123",0
"I1124",0
"I1125",0
"I1126",0
"I1127",0
"I1128",0
"I1129",0
"I1130",0
"I1131",0
"I1132",0
"I1133",0
"I1134",0
"I1135",0
"I1136",0
"I1137",0
"I1138",0
"I1139",0
"I1140",0
"I1141",0
"I1142",0
"I1143",-0.0425414095790001
"I1144",0
"I1145",0
"I1146",0
"I1147",0
"I1148",0
"I1149",0
"I1150",0
"I1151",0
"I1152",0
"I1153",0
"I1154",0
"I1155",0
"I1156",0
"I1157",0
"I1158",0
"I1159",0
"I1160",0
"I1161",0
"I1162",0
"I1163",0
"I1164",0
"I1165",0
"I1166",0
"I1167",0
"I1168",0
"I1169",0
"I1170",0
"I1171",0
"I1172",0
"I1173",0
"I1174",0
"I1175",0
"I1176",0
"I1177",0
"I1178",0
"I1179",0
"I1180",0
"I1181",0
"I1182",0
"I1183",0
"I1184",0
"I1185",0
"I1186",0
"I1187",0
"I1188",0
"I1189",0
"I1190",0
"I1191",0
"I1192",0
"I1193",0
"I1194",0
"I1195",0
"I1196",0
"I1197",0
"I1198",0
"I1199",0
"I1200",0
"I1201",0
"I1202",0
"I1203",0
"I1204",0
"I1205",0
"I1206",0
"I1207",0
"I1208",0
"I1209",0
"I1210",0
"I1211",0
"I1212",0
"I1213",0
"I1214",0
"I1215",0
"I1216",0
"I1217",0
"I1218",0
"I1219",0
"I1220",0
"I1221",0
"I1222",0
"I1223",0
"I1224",0
"I1225",0
"I1226",0
"I1227",0
"I1228",0
"I1229",0
"I1230",0
"I1231",0
"I1232",0
"I1233",0
"I1234",0
"I1235",0
"I1236",0
"I1237",0
"I1238",0
"I1239",0
"I1240",0
"I1241",0
"I1242",0
"I1243",0
"I1244",0
"I1245",0
"I1246",0
"I1247",0
"I1248",0
"I1249",0
"I1250",0
"I1251",0
"I1252",0
"I1253",0
"I1254",0
"I1255",0
"I1256",0
"I1257",0
"I1258",0
"I1259",0
"I1260",0
"I1261",0
"I1262",0
"I1263",0
"I1264",0
"I1265",0
"I1266",0
"I1267",0
"I1268",0
"I1269",0
"I1270",0
"I1271",0
"I1272",0
"I1273",0
"I1274",0
"I1275",0
"I1276",0
"I1277",0
"I1278",0
"I1279",0
"I1280",0
"I1281",0
"I1282",0
"I1283",0
"I1284",0
"I1285",0
"I1286",0
"I1287",0
"I1288",0
"I1289",0
"I1290",0
"I1291",0
"I1292",0
"I1293",0
"I1294",0
"I1295",0
"I1296",0
"I1297",0
"I1298",0
"I1299",0
"I1300",0
"I1301",0
"I1302",0
"I1303",0
"I1304",0
"I1305",0
"I1306",0
"I1307",0
"I1308",0
"I1309",0
"I1310",0
"I1311",0
"I1312",0
"I1313",0
"I1314",0
"I1315",0
"I1316",0
"I1317",0
"I1318",0
"I1319",0
"I1320",0
"I1321",0
"I1322",0
"I1323",0
"I1324",0
"I1325",0
"I1326",0
"I1327",0
"I1328",0
"I1329",0
"I1330",0
"I1331",0
"I1332",0
"I1333",0
"I1334",0
"I1335",0
"I1336",0
"I1337",0
"I1338",0
"I1339",0
"I1340",0
"I1341",0
"I1342",0
"I1343",0
"I1344",0
"I1345",0
"I1346",0
"I1347",0
"I1348",0
"I1349",0
"I1350",0
"I1351",0
"I1352",0
"I1353",0
"I1354",0
"I1355",0.035794659184301
"I1356",0
"I1357",0
"I1358",0
"I1359",0
"I1360",-5.04364953828711
"I1361",0
"I1362",0
"I1363",0
"I1364",0
"I1365",0
"I1366",0
"I1367",0
"I1368",0
"I1369",0
"I1370",0
"I1371",0
"I1372",0
"I1373",0
"I1374",0
"I1375",1.17049033993046E-6
"I1376",0
"I1377",0
"I1378",0
"I1379",0
"I1380",2.75338142139082E-5
"I1381",0
"I1382",0
"I1383",0
"I1384",0
"I1385",0
"I1386",0
"I1387",0
"I1388",0
"I1389",0
"I1390",0
"I1391",0
"I1392",0.0424507736212053
"I1393",0.209746673581037
"I1394",6.24267191764043E-6
"I1395",0.000322430397809478
"I1396",0
"I1397",0
"I1398",0
"I1399",-0.00412037408847493
"I1400",0
"I1401",-0.000686729014745821
"I1402",0
"I1403",0
"I1404",0
"I1405",0
"I1406",0
"I1407",0
"I1408",0
"I1409",0
"I1410",0
"I1411",0
"I1412",0
"I1413",0
"I1414",0
"I1415",0
"I1416",0
"I1417",0
"I1418",-0.0409809237541953
"I1419",-0.0100682558517656
"I1420",-0.0100682558517656
"I1421",-0.0402730234070622
"I1422",-0.0704777909623589
"I1423",-0.0100682558517656
"I1424",-0.151023837776483
"I1425",-0.0100682558517656
"I1426",-0.483973436323495
"I1427",-0.0100682558517656
"I1428",-0.100682558517656
"I1429",-0.130887326072952
"I1430",0
"I1431",-0.0604095351105933
"I1432",-0.0100682558517656
"I1433",-0.0604095351105933
"I1434",-0.132514022096698
"I1435",-2.21734544030804
"I1436",0
"I1437",0
"I1438",0
"I1439",-1.13639259695169
"I1440",0
"I1441",0
"I1442",0
"I1443",0
"I1444",0
"I1445",0
"I1446",0
"I1447",0
"I1448",0
"I1449",0
"I1450",0
"I1451",0
"I1452",0
"I1453",0
"I1454",0
"I1455",0
"I1456",0
"I1457",0
"I1458",0
"I1459",0
"I1460",0
"I1461",0.40557091369124
"I1462",-0.0453241149732242
"I1463",-0.0830942107842443
"I1464",-0.441566756481563
"I1465",-0.245162258264258
"I1466",-0.00278862175499256
"I1467",-0.00011619257312469
"I1468",0
"I1469",-2.09180931443441
"I1470",0
"I1471",0
"I1472",0
"I1473",-0.491223017490046
"I1474",1.21294335744089E-8
"I1475",2.02561540692629E-5
"I1476",1.67992655005563E-6
"I1477",9.40031102016691E-5
"I1478",3.50540630300418E-6
"I1479",-6.61054129805286E-5
"I1480",0.10916490216968
"I1481",1.21294335744089E-8
"I1482",0
"I1483",0
"I1484",0
"I1485",0
"I1486",1.52395980366943E-5
"I1487",0
"I1488",0
"I1489",0
"I1490",0
"I1491",0.00131060543115571
"I1492",0
"I1493",6.09583921467771E-5
"I1494",0
"I1495",0
"I1496",0
"I1497",0.000274312764660497
"I1498",0
"I1499",0
"I1500",0
"I1501",0
"I1502",0
"I1503",0
"I1504",0
"I1505",0
"I1506",0
"I1507",0
"I1508",0
"I1509",0
"I1510",0
"I1511",0
"I1512",0
"I1513",0
"I1514",0
"I1515",0
"I1516",0
"I1517",0.00124964703900893
"I1518",0
"I1519",0
"I1520",7.61979901834714E-5
"I1521",9.14375882201657E-5
"I1522",0
"I1523",0
"I1524",0
"I1525",0
"I1526",0
"I1527",0
"I1528",0
"I1529",0.00010667718625686
"I1530",0
"I1531",0
"I1532",0
"I1533",0
"I1534",1.52395980366943E-5
